Classified,GrndTruth,pop,w,lon,lat
11,-1,5.794985843356699,3556408.976429088972509,-52.568884564385925,-24.313654242268079
13,-1,529.155616164207458,2091760.088031354593113,-56.262168652876731,-24.976293162987407
12,-1,64.204156095162034,1979495.029650525422767,-48.425714575629932,-24.221493234358423
30,-1,5821.232399107888341,18975180.189752027392387,-71.323781712236368,-29.988436882848951
11,-1,0.000000000000000,0.000000000000000,-70.844838068318481,-30.039697074411340
23,-1,2376.492888663895428,3718854.896825696341693,-65.803879046240795,-32.227846125531038
30,-1,7751.660789489746094,25267701.092460252344608,-68.327743680150263,-34.618888686518112
21,-1,577.058368951547891,6315921.159925760701299,-55.772536943510140,-27.920548885952957
13,-1,761.422035407274961,3009912.727295489050448,-52.999835133303975,-28.880216850856314
11,-1,0.000000000000000,0.000000000000000,-53.976780814706181,-29.186652035985542
12,-1,54.975962306372821,1694978.187617979943752,-52.941489546055870,-29.476381518082441
23,-1,2468.178583182394505,3862329.255892969667912,-63.567105759515989,-32.046914532533300
11,-1,0.000000000000000,0.000000000000000,-56.977164575395228,-33.871172122732965
30,-1,4019.614254415035248,13102535.604403970763087,-58.898181101882031,-34.453479433411118
30,-1,5431.371314406394958,17704369.505004804581404,-58.776481879650525,-34.662438049300711
13,-1,147.620778415352106,583547.151387563091703,-49.834686499299153,-29.484907701873578
23,-1,2187.435720290988684,3423008.786897353362292,-50.963891003794068,-29.928645975039156
21,-1,3239.075426429510117,35451777.714533783495426,-51.015719460632624,-30.056786033407644
13,-1,961.777872028760612,3801922.354797771200538,-72.369007669880745,-38.060685514362156
12,-1,268.619710441678762,8281884.133752112276852,-73.255713330864353,-38.894849748050937
11,-1,0.892813846468925,547923.888632496353239,-71.991315597891358,-39.830997086471889
22,-1,2000.232988188974559,1908412.292866159696132,-60.158188336920084,-36.939294560470969
21,-1,554.816638739779592,6072484.755506049841642,-63.002363136659852,-40.789916696649030
11,-1,0.000000000000000,0.000000000000000,-65.236000873763331,-41.916761060685218
13,-1,252.421745913103223,997826.947920685750432,-48.647101850308104,-28.056232099248007
11,-1,0.141246944665909,86683.887671423406573,16.430991520216924,-25.884386707356722
21,-1,436.923321121030312,4782138.857369310222566,29.033347031381041,-25.253491342753001
11,-1,0.000000000000000,0.000000000000000,17.724337083924265,-30.629916557258920
23,-1,2476.499384045600891,3875350.061123758554459,31.426788836757666,-29.084468675216637
12,-1,153.811567443422973,4742204.426855708472431,29.214870631466230,-31.788674641390816
12,-1,245.204393774271011,7559960.417596930637956,44.018359878877895,-24.841979583263996
30,-1,53.517809295677580,174449.327070655417629,115.840942399298925,-31.960804130361307
11,-1,0.000000000000000,0.000000000000000,117.935542339453988,-33.307674714808321
11,-1,0.000000000000000,0.000000000000000,126.988642081468541,-31.547896338402555
11,-1,0.000000000000000,0.000000000000000,143.050576629182785,-24.749671124213808
11,-1,0.000000000000000,0.000000000000000,146.320940105974842,-24.674165392033910
11,-1,0.000000000000000,0.000000000000000,135.947756956867266,-30.998422088846823
11,-1,0.000000000000000,0.000000000000000,141.955804298456741,-28.837683563377652
22,-1,1243.504787212557858,1186421.699955565389246,152.064705757540224,-32.710998731593889
30,-1,4136.287409696029499,13482849.255015663802624,151.083508047786779,-33.905894427639055
30,-1,1691.130586564424448,5512493.816494726575911,150.870949939680486,-34.409971215982168
11,-1,0.000000000000000,0.000000000000000,149.116309321528661,-34.671148955852452
22,-1,1705.196451581083238,1626919.408471253700554,150.849567534355288,-34.679860207387115
30,-1,1232.021382787264884,4015958.500402508303523,144.995741786514230,-37.936755488986094
13,-1,860.539805135224015,3401726.757796617224813,147.064091952634499,-41.501232783012362
23,-1,879.930876521626487,1376959.832124867243692,146.933391867056429,-36.069431946847331
30,-1,3431.276881217956543,11184761.685862112790346,153.058193888723423,-27.429234788473277
11,-1,0.000000000000000,0.000000000000000,175.535546588268289,-39.804184354607258
12,-1,80.538198605179787,2483094.141127935145050,-77.975905924354024,-7.866655248071070
11,-1,0.000000000000000,0.000000000000000,-76.796985214929663,-9.353154309107406
12,-1,62.780516639351845,1935602.431442182743922,-75.485133744032368,-10.459430013416545
22,-1,4310.869171846657991,4112978.722513037268072,-75.773771594777884,-13.984318422875024
11,-1,0.000000000000000,0.000000000000000,-73.543469503862241,-15.524449900266964
23,-1,6419.667263478040695,10045816.317253611981869,-67.332831955867420,-14.295289544316683
11,-1,0.000000000000000,0.000000000000000,-53.236615650324104,-7.736790676298843
11,-1,0.000000000000000,0.000000000000000,-62.773450406340878,-14.344405176322301
13,-1,312.467923570424318,1235190.388892740942538,-65.817576540566122,-17.620589925017281
11,-1,25.855640925467014,15867723.574177885428071,-52.087422347595187,-10.760656473612602
23,-1,3824.420645833015442,5984644.647631794214249,-57.913450283355964,-13.648976874472881
21,-1,460.770621402421966,5043148.274368151091039,-56.031408049892022,-15.688544448594808
11,-1,0.134613476693630,82612.898426728133927,-55.552250190927886,-15.934780988223316
11,-1,0.000000000000000,0.000000000000000,-60.638728035662098,-22.133523077715466
11,-1,0.000000000000000,0.000000000000000,-57.628508553266933,-18.791818274404676
23,-1,2833.345336571335793,4433760.449933654628694,-54.950786980527120,-20.944556134705802
22,-1,2880.062620133161545,2747853.345555949024856,-53.198444009058825,-23.000618517625973
23,-1,2451.816645822022110,3836725.278214591089636,-55.436480302056303,-23.894943890768349
13,-1,469.171173555776477,1854640.686633587582037,-48.614629934665402,-22.741939656196376
23,-1,7871.152646660804749,12317173.219127159565687,-35.753622222918636,-8.231983692323835
11,-1,0.000000000000000,0.000000000000000,-35.846248793574439,-8.792406648256790
12,-1,107.036237578839064,3300062.070214957464486,-37.174912003783433,-9.296251448523261
30,-1,5.323017406393774,17351.173688751467125,-35.731334241437601,-9.686514760787832
12,-1,124.009823195636272,3823379.101498692762107,-41.964856973256026,-11.167902876976743
11,-1,0.000000000000000,0.000000000000000,-40.853810442846246,-12.374666259212008
12,-1,78.341587547212839,2415369.854480881243944,-44.737648791406968,-14.295289544316683
30,-1,4810.924869684502482,15681931.251467088237405,-42.540878939419265,-19.453022510758309
30,-1,3113.200271457433701,10147943.264856224879622,-44.891159071523376,-20.115255545057710
30,-1,10350.929326564073563,33740406.779334582388401,-40.269879729069814,-20.148394935356183
30,-1,6383.221781719475985,20807068.880781888961792,-40.389899438608495,-20.314132183720080
23,-1,2023.882837512530386,3167073.058281483128667,-45.081995424642336,-21.102318937363695
22,-1,1013.329569633118808,966812.675739110563882,-44.917405747786439,-21.168764452119039
11,-1,2.441217273473740,1498186.062826823676005,-44.896872459208936,-21.609255030103483
30,-1,10418.163372993469238,33959566.238778166472912,-43.081222675859031,-22.875427927227896
30,-1,9626.893020793795586,31380301.835230495780706,-42.034815455763322,-22.892117464200172
30,-1,5813.414503812789917,18949696.587353359907866,-47.076914511058391,-22.908807781965670
21,-1,588.869651228189468,6445195.998782071284950,-44.392892322431543,-22.925498881223778
23,-1,1637.797810358926654,2562907.903540166094899,-43.639850747189506,-22.992271107182098
30,-1,96.674947438456002,315126.492417763103731,-43.490663372150394,-23.034010123642148
23,-1,7958.809771917760372,12454343.471585506573319,15.741736658897734,-9.426320367442715
11,-1,0.000000000000000,0.000000000000000,13.905398264473675,-11.762877682055063
12,-1,102.275304004549980,3153276.489343321416527,13.899803077014287,-13.967956002284469
13,-1,552.001012004911900,2182068.280470596626401,15.757166445380202,-13.158559935483932
12,-1,109.530663982033730,3376968.379202716983855,14.722111086245070,-17.587640508238927
23,-1,4634.885800942778587,7252901.045605306513608,15.759657582358555,-17.768890785191481
13,-1,585.782952189445496,2315608.796749160625041,25.262353719988948,-7.493335656146576
11,-1,0.000000000000000,0.000000000000000,34.429527151776945,-8.069599912950451
21,-1,390.478215441107750,4273795.782349388115108,32.872543071523282,-8.816780074919759
21,-1,303.245898395776749,3319035.455318728461862,33.472890810995814,-8.946782122482363
23,-1,4495.305109649896622,7034478.200835640542209,28.302454243155704,-9.093055686490114
22,-1,3122.208130806684494,2978883.166562003549188,24.185448064341347,-11.167902876976743
11,-1,0.000000000000000,0.000000000000000,23.264578706833600,-13.526336679803713
11,-1,5.101936522871256,3131081.479329490568489,28.174329318245139,-11.013123935259726
30,-1,1918.687656879425049,6254250.220747018232942,27.260336527641499,-11.771031380642615
13,-1,393.058921135962009,1553767.811134274816141,34.081393867391100,-13.575389848879880
22,-1,1915.433332752436399,1827505.365612435853109,34.306240096055234,-13.591741765798929
12,-1,103.945168822072446,3204760.525697208940983,32.472495025144518,-13.877970612400581
